,Levels,level_1-1_win_rates,level_1-1_mean_reward,world1_v1_win_rates,world1_v1_mean_reward,world1_v2_win_rates,world1_v2_mean_reward
0,1-1,0.68,854.2329848792403,0.01,374.1349930011481,0.11,643.9229874967039
1,1-2,0.0,53.05999923065305,0.0,279.58799445457754,0.02,539.8869893652201
2,1-3,0.0,146.25699741117657,0.0,204.64999608069652,0.0,211.67799593254924
3,1-4,0.0,101.94599916301668,0.04,405.03699202626944,0.24,570.8709888228774
4,2-1,0.0,182.2709969881177,0.0,143.6229975735396,0.0,138.23099775128065
5,2-2,0.0,365.5029885198921,0.0,364.74398849092427,0.0,260.533993376866
6,2-3,0.0,230.0679964547604,0.0,272.9599948386848,0.0,231.4419957461208
7,2-4,0.0,100.55199889875948,0.0,92.97999850228427,0.0,97.2909983600676
8,3-1,0.0,166.8169976376742,0.0,128.74499781005085,0.0,139.97499742530286
9,3-2,0.0,110.01399819560348,0.0,88.17999843657017,0.0,131.0109977211058
10,3-3,0.0,93.72499860085549,0.0,91.33699844710527,0.0,118.48499781534076
11,3-4,0.0,91.89799927376212,0.0,89.92499860689044,0.0,96.11599837228655
12,4-1,0.03,610.3609879145026,0.0,282.94999463908374,0.0,164.18799716614186
13,4-2,0.0,53.60699922375381,0.0,58.569999148026106,0.0,87.7089985308051
14,4-3,0.0,117.9439980135858,0.0,109.12499815806748,0.0,118.02999798163772
15,4-4,0.0,72.46799932777881,0.0,338.7589989380538,0.0,224.26199679717425
16,5-1,0.0,78.66999868668616,0.0,95.61799816943704,0.0,126.72799780726432
17,5-2,0.0,224.0189970478416,0.0,167.71899725310504,0.0,219.9479966533929
18,5-3,0.0,101.36099837899208,0.0,143.94099739402532,0.0,215.15299587488173
19,5-4,0.0,99.42899893179536,0.0,89.34399856507778,0.0,95.69199839495124
20,6-1,0.0,184.62399717003103,0.0,141.94599768951537,0.0,139.79299785971642
21,6-2,0.0,133.6949981699139,0.0,134.59799791313708,0.0,124.0829980687797
22,6-3,0.0,82.86099872164428,0.0,101.22399801887572,0.0,103.55499816842377
23,6-4,0.0,86.61299939744174,0.0,243.36999548442665,0.0,120.26099797785282
24,7-1,0.0,184.56399712383748,0.0,183.7409968965501,0.0,140.78599768720568
25,7-2,0.0,259.2279918055981,0.0,261.92999166876075,0.0,178.7559955625236
26,7-3,0.0,175.04699762128294,0.0,176.0429967907816,0.0,175.41699696719647
27,7-4,0.0,133.09099964424968,0.0,98.9759983676672,0.0,103.8629983881861
28,8-1,0.0,115.71799794957042,0.0,106.089998158589,0.0,130.37099769726396
29,8-2,0.0,100.73199839279056,0.0,102.57899853207172,0.0,102.45699866950513
30,8-3,0.0,232.2949963276833,0.0,177.4969970110804,0.0,212.4779961614311
31,8-4,0.0,49.48399924725294,0.0,45.85399952828884,0.0,43.87999953508377
